3656
0	57	0
416	642	58
6241	6394	285
10823	10846	439
0	57	0
6241	6394	58
10823	10846	212
0	943	0
5395	5548	944
9977	10015	1098
0	4384	0
8813	8829	4385
0	392	0
2525	2678	393
7107	7130	547
0	168	0
1288	1324	169
0	311	0
524	594	312
0	225	0
524	677	226
5106	5123	380
0	172	0
0	153	0
4582	5189	154
0	153	0
5085	5222	154
0	153	0
4582	5261	154
0	974	0
0	485	0
1010	1113	486
1424	1557	590
0	488	0
799	933	489
0	137	0
0	563	0
666	870	564
1110	1470	769
0	301	0
541	870	302
0	894	0
0	18	0
1746	1852	19
0	936	0
0	84	0
3154	4225	85
0	917	0
0	327	0
0	936	0
0	271	0
10443	10475	272
15198	15304	305
0	1006	0
0	112	0
8447	8681	113
12359	12473	348
12821	13043	463
13231	13278	686
13986	14083	734
0	1781	0
1827	2814	1782
0	1472	0
1618	1957	1473
2100	2356	1813
0	411	0
0	378	0
0	182	0
2526	2723	183
0	1202	0
4380	4614	1203
0	103	0
0	69	0
444	525	70
0	102	0
0	86	0
0	675	0
0	497	0
1094	1270	498
1712	1769	675
6434	6711	733
6980	7131	1011
10245	10346	1163
0	192	0
789	965	193
1407	1464	370
6129	6406	428
6675	6826	706
9981	10048	858
0	149	0
746	922	150
1364	1421	327
6086	6363	385
6632	6783	663
9564	9782	815
0	319	0
761	818	320
5483	5645	378
0	590	0
859	1369	591
0	277	0
546	715	278
3811	3908	448
0	130	0
484	894	131
0	1136	0
1544	1961	1137
3002	3090	1555
3226	3350	1644
6270	6364	1769
6616	6697	1864
7917	8068	1946
20060	20129	2098
20932	21023	2168
21558	21681	2260
22289	22414	2384
28825	28967	2510
30508	30598	2653
39199	39218	2744
0	604	0
1212	1337	605
7748	7890	731
9431	9521	874
18122	18126	965
0	125	0
2400	2516	126
6536	6678	243
8219	8309	386
12650	12735	477
0	427	0
10659	10683	428
0	676	0
5315	5474	677
12549	12870	837
0	369	0
5008	5167	370
9148	9265	530
10574	10643	648
11413	11474	718
11883	11954	780
12242	12364	852
13606	13956	975
0	226	0
4865	5024	227
9005	9122	387
10431	10500	505
11270	11331	575
12099	12221	637
13463	13770	760
0	22	0
4003	4120	23
5429	5498	141
6268	6329	211
6738	7047	273
0	44	0
1101	1352	45
0	2963	0
3568	3701	2964
0	739	0
2340	3296	740
0	739	0
2340	2473	740
5563	6245	874
0	739	0
2340	2473	740
5563	5873	874
8514	8648	1185
14101	14164	1320
18126	18282	1384
19582	19708	1541
19797	19848	1668
20047	20100	1720
22135	22254	1774
22387	22447	1894
24279	24349	1955
43946	44413	2026
0	713	0
2314	2447	714
5537	5847	848
8488	8622	1159
14075	14138	1294
18100	18256	1358
19556	19682	1515
19771	20074	1642
22109	22228	1946
22361	22421	2066
24253	24775	2127
0	122	0
1723	1856	123
4946	5179	257
13484	13547	491
17509	17665	555
18965	19058	712
0	163	0
1463	1589	164
1678	1729	291
1928	1981	343
4016	4135	397
4268	4328	517
4531	4789	578
6160	6230	837
25827	25869	908
0	190	0
394	520	191
609	763	318
0	190	0
394	520	191
609	660	318
859	912	370
2947	3066	424
3199	3259	544
0	111	0
0	1018	0
4303	4416	1019
9048	9155	1133
11275	11637	1241
0	897	0
4182	4295	898
11154	11413	1012
0	218	0
3503	3616	219
8248	8485	333
0	863	0
12493	12753	864
15569	16166	1125
0	307	0
11495	11578	308
17330	17767	392
0	97	0
1379	1663	98
2042	2371	383
8291	8893	713
0	97	0
1379	1663	98
2042	2371	383
5215	5475	713
8291	8893	974
0	51	0
1996	2325	52
8245	8465	382
0	545	0
11590	12355	546
0	2872	0
0	394	0
4123	4209	395
4529	4626	482
5299	5433	580
9625	10378	715
0	339	0
4068	4154	340
4474	4946	427
0	48	0
3777	3863	49
4183	4280	136
4953	5087	234
9283	9525	369
0	86	0
406	441	87
5524	5748	123
0	86	0
406	503	87
1176	1310	185
5509	5748	320
0	196	0
4388	5135	197
0	153	0
4190	4258	154
4345	4432	223
4820	5103	311
0	137	0
1668	1758	138
